Id,Label,weight,Degree,Modularity Class
larkanaforpti,larkanaforpti,40,8,47
yougotthis,yougotthis,33,7,42
excuses,excuses,37,3,5
prayfor'merica,prayfor'merica,48,0,74
yessir,yessir,25,0,75
prayfor_yukiko,prayfor_yukiko,25,0,76
peacefor,peacefor,94,2,65
20/20vision,20/20vision,445,3,77
prayfortrevor,prayfortrevor,48,2,7
gospelfilms,gospelfilms,445,3,77
muslimbysoul,muslimbysoul,28,0,78
hutinsert,hutinsert,38,2,65
moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌💵💶💶💸🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌💵💶💶💸💵🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌💵💶💶💸💵💴,moemoneyent🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌💵💶💶💸💵💴💸🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌💵💶💶💸💵💴💸💵🙌💸🙌💸🐜🐜😺😺💸💸💵💰💸💸💵💰💳💳💵💵💴💰💴💰🙌💵💶💶🙌💵💶💶💸💵💴💸💵💴,23,0,79
after,after,17,10,21
ferguson,ferguson,290,18,65
rrsa,rrsa,30,2,73
seriouslytho,seriouslytho,27,0,80
prayfor...rt,prayfor...rt,24,0,81
werestillsuperbowlbound,werestillsuperbowlbound,17,0,82
darrenwilson,darrenwilson,11,9,49
kotabharu,kotabharu,15,2,83
freekali,freekali,32,0,84
remember,remember,28,3,85
powderweekend,powderweekend,51,1,73
neymarjr,neymarjr,36,6,86
spaming,spaming,37,4,65
prayforferguson:,prayforferguson:,74,1,65
blackpeople,blackpeople,36,6,65
ไปร้านเลย,ไปร้านเลย,11,0,87
vailsnow,vailsnow,32,0,88
wethands,wethands,89,1,65
"rain,","rain,",33,7,42
kembalikansemula,kembalikansemula,361,4,58
batgirl,batgirl,33,3,65
centerstar,centerstar,62,0,89
